2013-10-19 19:42:45 Debug: [1.189064] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:42:47 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:42:47 Debug: [0.025871] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21

2013-10-19 19:49:09 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:49:09 Debug: [1.178109] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:49:14 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:49:14 Debug: [1.183166] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:49:18 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:49:18 Debug: [1.184268] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:49:21 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:49:21 Debug: [0.109013] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:49:23 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:49:23 Debug: [0.026318] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21

2013-10-19 19:52:47 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:52:47 Debug: [1.197399] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:52:50 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:52:50 Debug: [1.180401] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:52:52 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:52:52 Debug: [1.206999] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:52:54 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:52:54 Debug: [0.106529] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:52:55 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
